N,perturbation_type,lambda_base,lambda_mult,p_const,lambda_actual,lambda_rounded,TP_mean,FP_mean,FN_mean,TN_mean,recall_mean,precision_mean,f1_mean,mcc_mean,n_predicted_mean,n_true_mean,runtime_mean,TP_sd,FP_sd,FN_sd,TN_sd,recall_sd,precision_sd,f1_sd,mcc_sd,n_predicted_sd,runtime_sd,n_runs,predicted_ratio,tp_fn_tradeoff
10,const_high,0.602781294882297,NA,0.85,0.85,0.85,16.88,0.02,0.12,27.98,0.9929411764705882,0.9988888888888888,0.9957922077922078,0.9934785706493074,16.9,17,0.8114421415328978,0.32826072265931594,0.1414213562373095,0.32826072265931594,0.1414213562373095,0.01930945427407752,0.007856742013183928,0.010537292996192323,0.016327906464121425,0.3642156795423418,0.24397397316294725,50,0.9941176470588234,16.759999999999998
10,const_high,0.602781294882297,NA,0.9,0.9,0.9,17,0.02,0,27.98,1,0.9988888888888888,0.9994285714285714,0.9990862703084106,17.02,17,0.9136092281341546,0,0.1414213562373095,0,0.1414213562373095,0,0.007856742013183928,0.004040610178208907,0.006461044610943856,0.1414213562373095,0.25058206734051197,50,1.0011764705882353,17
10,const_high,0.602781294882297,NA,0.95,0.95,0.95,17,0,0,28,1,1,1,1,17,17,0.866336674690247,0,0,0,0,0,0,0,0,0,0.26343122700397603,50,1,17
10,const_low,0.602781294882297,NA,0.01,0.01,0.01,11.04,0.12,5.96,27.88,0.6494117647058825,0.9921568627450981,0.7816679799803534,0.7256037420745045,11.16,17,0.7579651641845704,1.3241863115721677,0.47979587496419046,1.3241863115721677,0.47979587496419046,0.07789331244542173,0.030769522409769354,0.0500246799775995,0.05217597181485618,1.6081425462251757,0.22727311578813983,50,0.6564705882352941,5.079999999999999
10,const_low,0.602781294882297,NA,0.03,0.03,0.03,10.28,0.16,6.72,27.84,0.6047058823529412,0.9886163003663003,0.7464202975082843,0.6894433152958599,10.44,17,0.7570163917541503,1.340727795045722,0.5095015571464859,1.340727795045722,0.5095015571464859,0.07886634088504256,0.03441326068729626,0.05490532615924603,0.05047773362168238,1.66794508792302,0.23676441018709135,50,0.6141176470588235,3.5599999999999996
10,const_low,0.602781294882297,NA,0.05,0.05,0.05,9.08,0.02,7.92,27.98,0.5341176470588236,0.9981818181818182,0.6927363586826855,0.6435209368699305,9.1,17,0.8223340892791752,1.2751950631097941,0.1414213562373095,1.2751950631097941,0.1414213562373095,0.07501147430057613,0.012856486930664521,0.06357801334901818,0.05679336875944922,1.2975644374703537,0.21190572001665445,50,0.5352941176470588,1.1600000000000001
10,lambda_double,0.602781294882297,2,NA,0.29952344328024094,0.3,12.16,0.06,4.84,27.94,0.7152941176470589,0.9959663865546219,0.82882080074135,0.7781346883220633,12.22,17,5.620389633178711,1.6333263917664516,0.23989793748209523,1.6333263917664516,0.23989793748209523,0.09607802304508531,0.016194473341596904,0.06252785815801587,0.07005838510100824,1.717734625865695,1.0988707982825434,50,0.71882352941176475,7.32
10,lambda_double,0.602781294882297,3,NA,0.16392539148378585,0.164,12.16,0.04,4.84,27.96,0.715294117647059,0.9977777777777778,0.8284134686328793,0.7795920839260381,12.2,17,5.177143225669861,1.86656948240698,0.282842712474619,1.86656948240698,0.282842712474619,0.10979820484746937,0.015713484026367713,0.07007569668656051,0.08011655334425435,1.9691498217271746,0.9992525411406764,50,0.7176470588235294,7.32
10,lambda_double,0.602781294882297,4,NA,0.08971429307445172,0.09,12.16,0.14,4.84,27.86,0.7152941176470591,0.9919780701754386,0.8267038569925114,0.7748374215516549,12.3,17,1.7219723463058472,1.6457738084473907,0.45220547975269754,1.6457738084473907,0.45220547975269754,0.09681022402631702,0.02541314046818907,0.05325771264008775,0.059752419990339485,2.002549395553741,1.729734259615838,50,0.723529411764706,7.32
10,lambda_half,0.602781294882297,0.25,NA,0.8601097137697734,0.86,16.9,0.02,0.1,27.98,0.9941176470588236,0.9988888888888888,0.9963982683982684,0.994413187259158,16.92,17,6.086734266281129,0.30304576336566325,0.1414213562373095,0.30304576336566325,0.1414213562373095,0.017826221374450883,0.007856742013183928,0.009855146000428633,0.015283366732800637,0.3404678653660853,1.1682547684717541,50,0.9952941176470589,16.799999999999997
