N,perturbation_type,lambda_base,lambda_mult,p_const,lambda_actual,lambda_rounded,TP_mean,FP_mean,FN_mean,TN_mean,recall_mean,precision_mean,f1_mean,mcc_mean,n_predicted_mean,n_true_mean,runtime_mean,TP_sd,FP_sd,FN_sd,TN_sd,recall_sd,precision_sd,f1_sd,mcc_sd,n_predicted_sd,runtime_sd,n_runs,predicted_ratio,tp_fn_tradeoff
50,const_high,NA,NA,0.01,0.01,0.01,93.48,0,3.52,1128,0.9637113402061857,1,0.9814909304467188,0.9801478971692339,93.48,97,13.281040143966674,1.0349011586442762,0,1.0349011586442762,0,0.010669084109734876,0,0.005529177267755554,0.005872053013577121,1.0349011586442762,2.6130076832966496,50,0.9637113402061857,89.96000000000001
50,const_high,NA,NA,0.1,0.1,0.1,90.58,0,6.42,1128,0.9338144329896908,1,0.9657085572679278,0.9635753691282989,90.58,97,12.686646032333375,1.5130722901110973,0,1.5130722901110973,0,0.015598683403207185,0,0.00835585053391771,0.0086962516332973,1.5130722901110973,2.6661466147064115,50,0.9338144329896907,84.16
50,const_high,NA,NA,0.2,0.2,0.2,82.08,0,14.92,1128,0.8461855670103092,1,0.9164255220183359,0.9137500429443982,82.08,97,12.332401413917548,2.8127987369689067,0,2.8127987369689067,0,0.02899792512339071,0,0.016880499182543376,0.016726236563520198,2.8127987369689067,2.4809089561752504,50,0.8461855670103092,67.16
50,const_high,NA,NA,0.3,0.3,0.3,59.44,1.62,37.56,1126.38,0.6127835051546391,0.9742587625275951,0.7509599386393021,0.7582102058529697,61.06,97,12.12354350090027,4.907969362710623,1.3384425917567668,4.907969362710623,1.3384425917567668,0.05059762229598583,0.0206797281309825,0.03710591147959849,0.03218217195160874,5.475026791472982,2.721403804391313,50,0.6294845360824742,21.879999999999995
50,const_high,NA,NA,0.4,0.4,0.4,5.12,1.46,91.88,1126.54,0.0527835051546392,0.7976313131313131,0.09609353990510945,0.18847847065593065,6.58,97,12.22645165920258,3.662496082048472,1.8093859596615665,3.662496082048472,1.8093859596615665,0.03775769156751005,0.24686826618218533,0.06612369380129093,0.08130655645354436,4.759909105631908,2.4956792184197085,50,0.06783505154639176,-86.75999999999999
50,const_high,NA,NA,0.5,0.5,0.5,0,0,97,1128,0,1,0,NA,0,97,12.13928704738616,0,0,0,0,0,0,0,NA,0,2.4256606205512767,50,0,-97
50,const_high,NA,NA,0.6,0.6,0.6,6.66,1.48,90.34,1126.52,0.06865979381443299,0.8822524697524697,0.12187396666444278,0.22419243352686438,8.14,97,11.94141818523407,4.909840181945325,2.242811646490327,4.909840181945325,2.242811646490327,0.050616909092219824,0.1292847379495334,0.08109642650420142,0.07016491971189044,6.673156704900857,2.3871278776086666,50,0.08391752577319589,-83.68
50,const_high,NA,NA,0.7,0.7,0.7,58.84,1.28,38.16,1126.72,0.6065979381443298,0.9792019503304964,0.7478558273528266,0.7563857597629186,60.12,97,12.15037580490112,4.833387285647739,1.325418686256366,4.833387285647739,1.325418686256366,0.04982873490358493,0.020582278629827994,0.038434558589984236,0.033720767610306776,5.149360966891614,2.5707653183814383,50,0.6197938144329896,20.680000000000007
50,const_high,NA,NA,0.8,0.8,0.8,81.78,0.02,15.22,1127.98,0.8430927835051547,0.9997560975609756,0.9143543553263561,0.9117716873978366,81.8,97,12.069142398834225,3.5009619669281684,0.1414213562373095,3.5009619669281684,0.1414213562373095,0.03609239141163051,0.001724650685820912,0.021477079934910912,0.021046444765267017,3.499271061118826,2.322568730694092,50,0.843298969072165,66.56
50,const_high,NA,NA,0.9,0.9,0.9,90.06,0,6.94,1128,0.9284536082474227,1,0.9628339456567004,0.9605854608019571,90.06,97,12.010880880355836,1.503872552133732,0,1.503872552133732,0,0.015503840743646757,0,0.008333971563479625,0.00865530710122532,1.503872552133732,2.6067820787306126,50,0.9284536082474227,83.12
50,const_high,NA,NA,0.95,0.95,0.95,92.4,0,4.6,1128,0.9525773195876289,1,0.9756865887612722,0.9740059914681296,92.4,97,11.47095412731171,0.9689042833036098,0,0.9689042833036098,0,0.009988703951583609,0,0.005223885517409458,0.005516846524557898,0.9689042833036098,2.4664858070223294,50,0.9525773195876289,87.80000000000001
100,const_high,NA,NA,0.01,0.01,0.01,287.64,0,6.36,4656,0.9783673469387756,1,0.9890613674798399,0.9884479209966758,287.64,294,73.59222842216491,1.173865061952808,0,1.173865061952808,0,0.003992738305962091,0,0.002039512757129072,0.0021410483954070083,1.173865061952808,17.75946983318477,50,0.9783673469387755,281.28
100,const_high,NA,NA,0.1,0.1,0.1,282.58,0,11.42,4656,0.961156462585034,1,0.9801831258396619,0.9791812388066,282.58,294,79.20965205669404,1.8636150955843311,0,1.8636150955843311,0,0.0063388268557289735,0,0.0032925852396094185,0.003422774894879197,1.8636150955843311,14.270188871025733,50,0.961156462585034,271.15999999999997
100,const_high,NA,NA,0.2,0.2,0.2,270.46,0,23.54,4656,0.9199319727891158,1,0.9582614406431439,0.9567000916622562,270.46,294,78.93115248680115,3.3025036884528833,0,3.3025036884528833,0,0.011233005743037091,0,0.006101631510376636,0.006181685329482903,3.3025036884528833,16.777362733960558,50,0.9199319727891155,246.92
100,const_high,NA,NA,0.3,0.3,0.3,226.52,0.6,67.48,4655.4,0.7704761904761904,0.9973660590391228,0.8691465767299353,0.8701383427653863,227.12,294,79.38141084194183,7.225917073356185,0.9035079029052513,7.225917073356185,0.9035079029052513,0.024577949229102707,0.003964150318280243,0.015922749187472288,0.014831775168041923,7.243970046929814,14.151065153660245,50,0.7725170068027211,159.04000000000002
100,const_high,NA,NA,0.4,0.4,0.4,61.46,9.8,232.54,4646.2,0.20904761904761907,0.8667949224311615,0.33508325344762807,0.4100497259656379,71.26,294,78.53758596420288,10.093865585046176,4.844521416518049,10.093865585046176,4.844521416518049,0.03433287613961285,0.04681092460421249,0.04367781612459271,0.03394919049517228,13.41307616637205,17.208935557140343,50,0.2423809523809524,-171.07999999999998
100,const_high,NA,NA,0.5,0.5,0.5,0,0,294,4656,0,1,0,NA,0,294,78.79251289367674,0,0,0,0,0,0,0,NA,0,13.716330784459647,50,0,-294
100,const_high,NA,NA,0.6,0.6,0.6,59.62,9.96,234.38,4646.04,0.2027891156462585,0.8594911126214111,0.3266249085555818,0.4019473419766958,69.58,294,79.62591363430023,9.915747113371062,4.130325875368031,9.915747113371062,4.130325875368031,0.03372703099786075,0.04707493564462041,0.044908701414140856,0.03700164817716334,11.981431211568633,14.896682656966517,50,0.23666666666666666,-174.76
100,const_high,NA,NA,0.7,0.7,0.7,230.7,1.02,63.3,4654.98,0.7846938775510204,0.9956262461172389,0.8773706021180374,0.8776585966807342,231.72,294,80.5378287935257,8.423121724861677,0.9581018649775552,8.423121724861677,0.9581018649775552,0.028650073894087427,0.0040710781311002085,0.018034244869452695,0.016845874336788247,8.583420183168032,14.153210874023163,50,0.7881632653061225,167.39999999999998
100,const_high,NA,NA,0.8,0.8,0.8,270.12,0,23.88,4656,0.9187755102040818,1,0.9576136147898909,0.9560550861728015,270.12,294,79.52746574401854,4.143546740636183,0,4.143546740636183,0,0.014093696396721858,0,0.007636320052212224,0.007747567433640031,4.143546740636183,17.001375838142003,50,0.9187755102040817,246.24
100,const_high,NA,NA,0.9,0.9,0.9,282.72,0,11.28,4656,0.9616326530612245,1,0.9804325331669097,0.979439260694218,282.72,294,81.2075386095047,1.6907913857729704,0,1.6907913857729704,0,0.00575099110807127,0,0.0029870754021604946,0.003105290436125603,1.6907913857729704,14.163979576642303,50,0.9616326530612246,271.44000000000005
100,const_high,NA,NA,0.95,0.95,0.95,285.98,0,8.02,4656,0.9727210884353741,1,0.9861663338521719,0.9854154809040165,285.98,294,80.27493630886077,1.3775162505060197,0,1.3775162505060197,0,0.00468542942348989,0,0.0024072473298574577,0.00251850939546023,1.3775162505060197,17.163981668880766,50,0.9727210884353742,277.96000000000004
