N,perturbation_type,lambda_base,lambda_mult,p_const,lambda_actual,lambda_rounded,TP_mean,FP_mean,FN_mean,TN_mean,recall_mean,precision_mean,f1_mean,mcc_mean,n_predicted_mean,n_true_mean,runtime_mean,TP_sd,FP_sd,FN_sd,TN_sd,recall_sd,precision_sd,f1_sd,mcc_sd,n_predicted_sd,runtime_sd,n_runs,predicted_ratio,tp_fn_tradeoff
50,const_high,0.147423700392246,NA,0.5,0.5,0.5,71.32,0.12,25.68,1127.88,0.7352577319587628,0.9983926031294452,0.8465626525497983,0.846985050387568,71.44,97,10.4519859790802,2.5828318582833196,0.32826072265931594,2.5828318582833196,0.32826072265931594,0.026627132559621937,0.004397435112254092,0.017299806636765395,0.015761934903538184,2.7117281183324966,2.7665724735242465,50,0.7364948453608248,45.63999999999999
50,const_high,0.147423700392246,NA,0.6,0.6,0.6,74.68,0.06,22.32,1127.94,0.7698969072164947,0.9992368421052632,0.8695301069213117,0.8684400399542257,74.74,97,11.101470894813538,2.0547605252988803,0.31363569143000214,2.0547605252988803,0.31363569143000214,0.021183098198957608,0.0039615748653911795,0.013241889454838559,0.01243771012254979,2.145807492744484,2.5781415130849457,50,0.7705154639175257,52.36000000000001
50,const_high,0.147423700392246,NA,0.65,0.65,0.65,75.8,0.02,21.2,1127.98,0.7814432989690723,0.9997530864197531,0.8770883536198133,0.8756238818815981,75.82,97,10.534990987777707,1.8405855323893037,0.1414213562373095,1.8405855323893037,0.1414213562373095,0.018975108581333076,0.0017459426695964528,0.011753780262314262,0.011084539991071306,1.8918730595548392,2.6444019277379347,50,0.7816494845360824,54.599999999999994
50,const_high,0.147423700392246,NA,0.7,0.7,0.7,78.42,0.1,18.58,1127.9,0.8084536082474227,0.9987708460134751,0.8934514790409657,0.8911589604623756,78.52,97,10.736428084373472,1.8745339556861615,0.30304576336566325,1.8745339556861615,0.30304576336566325,0.01932509232666151,0.0037260233784768356,0.011321018990184348,0.010858130582946048,2.0024474820497407,2.9948150758585146,50,0.8094845360824742,59.84
50,const_high,0.147423700392246,NA,0.75,0.75,0.75,79.32,0,17.68,1128,0.8177319587628866,1,0.8996385597262508,0.8972427794471821,79.32,97,10.177662086486821,1.6091574674661397,0,1.6091574674661397,0,0.016589252241918942,0,0.009975144253755482,0.009703455192391198,1.6091574674661397,2.930634394779604,50,0.8177319587628865,61.63999999999999
50,const_high,0.147423700392246,NA,0.8,0.8,0.8,81.54,0.08,15.46,1127.92,0.840618556701031,0.9991011235955056,0.9129117111750764,0.9101279936675344,81.62,97,10.652877607345575,1.6928420734712042,0.565685424949238,1.6928420734712042,0.565685424949238,0.017451980138878227,0.0063560160106655795,0.009811693779763807,0.009667375963989863,1.9366497476048576,3.0254988821767976,50,0.8414432989690722,66.08000000000001
50,const_high,0.147423700392246,NA,0.85,0.85,0.85,83.64,0,13.36,1128,0.8622680412371133,1,0.9259884097794554,0.923111238558718,83.64,97,10.493762397766112,1.2739141034061687,0,1.2739141034061687,0,0.013133135086661496,0,0.007572626735712004,0.0075447818537571435,1.2739141034061687,2.988391220386302,50,0.8622680412371134,70.28
50,const_high,0.147423700392246,NA,0.9,0.9,0.9,85.58,0,11.42,1128,0.8822680412371132,1,0.937397093317048,0.9345493792484398,85.58,97,11.33599115371704,1.3261883388885916,0,1.3261883388885916,0,0.013672044730810257,0,0.007724317185768755,0.007787852220699187,1.3261883388885916,2.564766208445928,50,0.8822680412371133,74.16
50,const_high,0.147423700392246,NA,0.95,0.95,0.95,87.5,0,9.5,1128,0.902061855670103,1,0.9484636039390103,0.945775995242831,87.5,97,10.580152745246886,1.2330483215451478,0,1.2330483215451478,0,0.01271183836644487,0,0.007005554699468719,0.007167680386391261,1.2330483215451478,2.516388758306385,50,0.9020618556701031,78
50,const_high,0.147423700392246,NA,0.99,0.99,0.99,89.22,0,7.78,1128,0.9197938144329897,1,0.9581755058594446,0.955749513563322,89.22,97,11.025081391334531,1.2501428489805246,0,1.2501428489805246,0,0.012888070608046701,0,0.006984988851807186,0.0072184797487002935,1.2501428489805246,2.7334047962829393,50,0.9197938144329897,81.44
