x,y,z,labe
6.12E-17,0,1,A1
-0.566406237,-6.94E-17,0.824126189,A4
-0.808524163,0.587427189,-0.034899497,A10
-0.999390827,-1.22E-16,-0.034899497,A23
-0.808524163,-0.587427189,-0.034899497,B7
-0.579724131,-0.797921813,0.165047606,B12
-0.275279424,-0.664583318,0.69465837,B18
4.40E-17,-0.7193398,0.69465837,B22
6.04E-17,-0.986285602,0.165047606,B25
0.596367811,-0.596367811,0.537299608,C4
0.579724131,-0.797921813,0.165047606,C6
0.938013348,-0.304779012,0.165047606,C15
0.843391446,0,0.537299608,C20
0.938013348,0.304779012,0.165047606,C28
0.596367811,0.596367811,0.537299608,D4
0.579724131,0.797921813,0.165047606,D6
4.40E-17,0.7193398,0.69465837,D19
6.04E-17,0.986285602,0.165047606,D22
-0.275279424,0.664583318,0.69465837,D28
-0.579724131,0.797921813,0.165047606,D30
