"node1","node2","region1","region2","proportion_control","proportion_autism","risk_difference","effect_range","p_value","p_adjusted","p_by","selected","rank"
1,2,"Precentral_L","Precentral_R",0.927272727272727,0.854545454545454,-0.0727272727272728,0.0727272727272728,0.359662012889472,1,1,FALSE,853
1,3,"Precentral_L","Frontal_Sup_L",0.527272727272727,0.2,-0.327272727272727,0.327272727272727,0.000658047876341277,1,1,FALSE,2
2,3,"Precentral_R","Frontal_Sup_L",0.109090909090909,0.0545454545454545,-0.0545454545454545,0.0545454545454545,0.488966435220834,1,1,FALSE,1158
1,4,"Precentral_L","Frontal_Sup_R",0.163636363636364,0.0545454545454545,-0.109090909090909,0.109090909090909,0.123540893849592,1,1,FALSE,291
2,4,"Precentral_R","Frontal_Sup_R",0.381818181818182,0.290909090909091,-0.0909090909090909,0.0909090909090909,0.419755829539315,1,1,FALSE,1032
3,4,"Frontal_Sup_L","Frontal_Sup_R",0.545454545454545,0.472727272727273,-0.0727272727272727,0.0727272727272727,0.567423019256256,1,1,FALSE,1642
1,5,"Precentral_L","Frontal_Sup_Orb_L",0.0909090909090909,0.0727272727272727,-0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2663
2,5,"Precentral_R","Frontal_Sup_Orb_L",0.0181818181818182,0.0545454545454545,0.0363636363636364,0.0363636363636364,0.618022807167967,1,1,FALSE,1706
3,5,"Frontal_Sup_L","Frontal_Sup_Orb_L",0.6,0.509090909090909,-0.0909090909090909,0.0909090909090909,0.44304703086807,1,1,FALSE,1119
4,5,"Frontal_Sup_R","Frontal_Sup_Orb_L",0.109090909090909,0.0727272727272727,-0.0363636363636364,0.0363636363636364,0.741953348477847,1,1,FALSE,2142
1,6,"Precentral_L","Frontal_Sup_Orb_R",0,0,0,0,1,1,1,FALSE,4221
2,6,"Precentral_R","Frontal_Sup_Orb_R",0.0181818181818182,0.0363636363636364,0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2834
3,6,"Frontal_Sup_L","Frontal_Sup_Orb_R",0.0727272727272727,0.0545454545454545,-0.0181818181818182,0.0181818181818182,1,1,1,FALSE,2847
4,6,"Frontal_Sup_R","Frontal_Sup_Orb_R",0.272727272727273,0.2,-0.0727272727272727,0.0727272727272727,0.50129166376757,1,1,FALSE,1489
5,6,"Frontal_Sup_Orb_L","Frontal_Sup_Orb_R",0.272727272727273,0.272727272727273,0,0,1,1,1,FALSE,4320
1,7,"Precentral_L","Frontal_Mid_L",0.581818181818182,0.327272727272727,-0.254545454545455,0.254545454545455,0.0124355008584193,1,1,FALSE,28
