"scenario","procedure","n_replications","global_power","tpr","precision","fdp","fwer","mean_set_size_error","jaccard","mean_selected"
"latent_dependent","BY",995,1,0.150921273031826,0.550921273031826,0.00385259631490788,0.00502512562814069,-5.0894472361809,0.150849485522852,0.910552763819095
"localized_positive","BY",994,1,0.142186452045607,0.521093226022804,0.00204560697518444,0.0050301810865191,-5.14185110663984,0.141899013126377,0.858148893360161
"scattered_mixed","BY",998,1,0.144288577154309,0.540080160320641,0.00100200400801605,0.00100200400801605,-5.13326653306613,0.144288577154309,0.866733466933868
"three_group","BY",953,1,0.110877929345925,0.432843651626443,0.00262329485834207,0.00314795383001048,-5.33158447009444,0.11085294558537,0.668415529905562
"latent_dependent","Holm",995,1,0.203182579564489,0.730820770519263,0.00787269681742042,0.0100502512562814,-4.77085427135678,0.2030629337162,1.22914572864322
"localized_positive","Holm",994,1,0.193326626425218,0.715761234071093,0.00355466130114019,0.00804828973843055,-4.83199195171026,0.192967327776181,1.16800804828974
"scattered_mixed","Holm",998,1,0.198229792919172,0.751503006012024,0.00300601202404811,0.00501002004008017,-4.80561122244489,0.198134363966027,1.19438877755511
"three_group","Holm",953,1,0.179083595662819,0.706190975865687,0.00839454354669465,0.0115424973767052,-4.91395592864638,0.178933693099485,1.08604407135362
"latent_dependent","unadjusted",995,1,0.659128978224456,0.906728882507777,0.093271117492223,0.369849246231156,-1.56984924623116,0.616802265294728,4.43015075376884
"localized_positive","unadjusted",994,1,0.640006706908115,0.898488151128996,0.0994997764363962,0.388329979879276,-1.68611670020121,0.5989468557376,4.31388329979879
"scattered_mixed","unadjusted",998,1,0.659652638610554,0.895694166109998,0.104305833890002,0.413827655310621,-1.52004008016032,0.61318708846264,4.47995991983968
"three_group","unadjusted",953,1,0.614375655823715,0.852395526241276,0.147604473758724,0.532004197271773,-1.59181532004197,0.555563050683722,4.40818467995803
