"scenario","replicate","procedure","global_reject","tpr","precision","fdp","fwer","set_size_error","jaccard","n_selected"
"localized_positive",1,"unadjusted",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",1,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",1,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",2,"unadjusted",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",2,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",2,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",3,"unadjusted",TRUE,0.833333333333333,1,0,0,-1,0.833333333333333,5
"localized_positive",3,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",3,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",4,"unadjusted",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",4,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",4,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",5,"unadjusted",TRUE,0.833333333333333,1,0,0,-1,0.833333333333333,5
"localized_positive",5,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",5,"BY",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",6,"unadjusted",TRUE,0.833333333333333,0.833333333333333,0.166666666666667,1,0,0.714285714285714,6
"localized_positive",6,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",6,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",7,"unadjusted",TRUE,0.5,0.75,0.25,1,-2,0.428571428571429,4
"localized_positive",7,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",7,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",8,"unadjusted",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",8,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",8,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",9,"unadjusted",TRUE,0.833333333333333,1,0,0,-1,0.833333333333333,5
"localized_positive",9,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",9,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",10,"unadjusted",TRUE,0.333333333333333,0.666666666666667,0.333333333333333,1,-3,0.285714285714286,3
"localized_positive",10,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",10,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",11,"unadjusted",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",11,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",11,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",12,"unadjusted",TRUE,0.833333333333333,1,0,0,-1,0.833333333333333,5
"localized_positive",12,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",12,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",13,"unadjusted",TRUE,1,0.857142857142857,0.142857142857143,1,1,0.857142857142857,7
"localized_positive",13,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",13,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",14,"unadjusted",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",14,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",14,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",15,"unadjusted",TRUE,0.833333333333333,1,0,0,-1,0.833333333333333,5
"localized_positive",15,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",15,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",16,"unadjusted",TRUE,1,1,0,0,0,1,6
"localized_positive",16,"Holm",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",16,"BY",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",17,"unadjusted",TRUE,0.833333333333333,0.714285714285714,0.285714285714286,1,1,0.625,7
"localized_positive",17,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",17,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",18,"unadjusted",FALSE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",18,"Holm",FALSE,0,0,0,0,-6,0,0
"localized_positive",18,"BY",FALSE,0,0,0,0,-6,0,0
"localized_positive",19,"unadjusted",TRUE,0.666666666666667,0.8,0.2,1,-1,0.571428571428571,5
"localized_positive",19,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",19,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",20,"unadjusted",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",20,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",20,"BY",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",21,"unadjusted",TRUE,0.833333333333333,1,0,0,-1,0.833333333333333,5
"localized_positive",21,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",21,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",22,"unadjusted",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",22,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",22,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",23,"unadjusted",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",23,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",23,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",24,"unadjusted",TRUE,0.5,0.75,0.25,1,-2,0.428571428571429,4
"localized_positive",24,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",24,"BY",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",25,"unadjusted",TRUE,0.666666666666667,0.666666666666667,0.333333333333333,1,0,0.5,6
"localized_positive",25,"Holm",TRUE,0.5,0.75,0.25,1,-2,0.428571428571429,4
"localized_positive",25,"BY",TRUE,0.5,0.75,0.25,1,-2,0.428571428571429,4
"localized_positive",26,"unadjusted",TRUE,0.833333333333333,0.833333333333333,0.166666666666667,1,0,0.714285714285714,6
"localized_positive",26,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",26,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",27,"unadjusted",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",27,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",27,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",28,"unadjusted",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",28,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",28,"BY",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",29,"unadjusted",TRUE,0.833333333333333,0.625,0.375,1,2,0.555555555555556,8
"localized_positive",29,"Holm",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",29,"BY",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",30,"unadjusted",TRUE,0.666666666666667,0.8,0.2,1,-1,0.571428571428571,5
"localized_positive",30,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",30,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",31,"unadjusted",TRUE,0.333333333333333,0.666666666666667,0.333333333333333,1,-3,0.285714285714286,3
"localized_positive",31,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",31,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",32,"unadjusted",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",32,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",32,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",33,"unadjusted",TRUE,0.833333333333333,0.833333333333333,0.166666666666667,1,0,0.714285714285714,6
"localized_positive",33,"Holm",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",33,"BY",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",34,"unadjusted",TRUE,0.833333333333333,1,0,0,-1,0.833333333333333,5
"localized_positive",34,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",34,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",35,"unadjusted",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",35,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",35,"BY",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",36,"unadjusted",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",36,"Holm",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",36,"BY",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",37,"unadjusted",TRUE,0.833333333333333,0.833333333333333,0.166666666666667,1,0,0.714285714285714,6
"localized_positive",37,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",37,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",38,"unadjusted",TRUE,0.666666666666667,0.666666666666667,0.333333333333333,1,0,0.5,6
"localized_positive",38,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",38,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",39,"unadjusted",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",39,"Holm",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",39,"BY",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",40,"unadjusted",TRUE,1,1,0,0,0,1,6
"localized_positive",40,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",40,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",41,"unadjusted",TRUE,1,1,0,0,0,1,6
"localized_positive",41,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",41,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",42,"unadjusted",TRUE,1,0.857142857142857,0.142857142857143,1,1,0.857142857142857,7
"localized_positive",42,"Holm",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",42,"BY",TRUE,0.833333333333333,1,0,0,-1,0.833333333333333,5
"localized_positive",43,"unadjusted",TRUE,0.833333333333333,1,0,0,-1,0.833333333333333,5
"localized_positive",43,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",43,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",44,"unadjusted",TRUE,1,0.857142857142857,0.142857142857143,1,1,0.857142857142857,7
"localized_positive",44,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",44,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",45,"unadjusted",TRUE,0.833333333333333,1,0,0,-1,0.833333333333333,5
"localized_positive",45,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",45,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",46,"unadjusted",TRUE,1,1,0,0,0,1,6
"localized_positive",46,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",46,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",47,"unadjusted",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",47,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",47,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",48,"unadjusted",TRUE,0.833333333333333,1,0,0,-1,0.833333333333333,5
"localized_positive",48,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",48,"BY",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",49,"unadjusted",TRUE,0,0,1,1,-5,0,1
"localized_positive",49,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",49,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",50,"unadjusted",TRUE,0.666666666666667,0.8,0.2,1,-1,0.571428571428571,5
"localized_positive",50,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",50,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",51,"unadjusted",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",51,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",51,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",52,"unadjusted",TRUE,0.833333333333333,1,0,0,-1,0.833333333333333,5
"localized_positive",52,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",52,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",53,"unadjusted",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",53,"Holm",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",53,"BY",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",54,"unadjusted",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",54,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",54,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",55,"unadjusted",TRUE,0.833333333333333,1,0,0,-1,0.833333333333333,5
"localized_positive",55,"Holm",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",55,"BY",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",56,"unadjusted",TRUE,0.833333333333333,1,0,0,-1,0.833333333333333,5
"localized_positive",56,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",56,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",57,"unadjusted",TRUE,0.5,0.75,0.25,1,-2,0.428571428571429,4
"localized_positive",57,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",57,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",58,"unadjusted",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",58,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",58,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",59,"unadjusted",TRUE,0.833333333333333,0.714285714285714,0.285714285714286,1,1,0.625,7
"localized_positive",59,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",59,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",60,"unadjusted",TRUE,0.5,0.75,0.25,1,-2,0.428571428571429,4
"localized_positive",60,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",60,"BY",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",61,"unadjusted",TRUE,0.833333333333333,0.833333333333333,0.166666666666667,1,0,0.714285714285714,6
"localized_positive",61,"Holm",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",61,"BY",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",62,"unadjusted",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",62,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",62,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",63,"unadjusted",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",63,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",63,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",64,"unadjusted",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",64,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",64,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",65,"unadjusted",TRUE,0.5,0.75,0.25,1,-2,0.428571428571429,4
"localized_positive",65,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",65,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",66,"unadjusted",TRUE,0.833333333333333,1,0,0,-1,0.833333333333333,5
"localized_positive",66,"Holm",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",66,"BY",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",67,"unadjusted",TRUE,0.5,0.6,0.4,1,-1,0.375,5
"localized_positive",67,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",67,"BY",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",68,"unadjusted",TRUE,0.833333333333333,0.833333333333333,0.166666666666667,1,0,0.714285714285714,6
"localized_positive",68,"Holm",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",68,"BY",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",69,"unadjusted",TRUE,0.333333333333333,0.666666666666667,0.333333333333333,1,-3,0.285714285714286,3
"localized_positive",69,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",69,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",70,"unadjusted",TRUE,0.666666666666667,0.666666666666667,0.333333333333333,1,0,0.5,6
"localized_positive",70,"Holm",TRUE,0,0,0,0,-6,0,0
"localized_positive",70,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",71,"unadjusted",TRUE,0.5,1,0,0,-3,0.5,3
"localized_positive",71,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",71,"BY",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",72,"unadjusted",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",72,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",72,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",73,"unadjusted",TRUE,1,1,0,0,0,1,6
"localized_positive",73,"Holm",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",73,"BY",TRUE,0.333333333333333,1,0,0,-4,0.333333333333333,2
"localized_positive",74,"unadjusted",TRUE,0.666666666666667,1,0,0,-2,0.666666666666667,4
"localized_positive",74,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",74,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",75,"unadjusted",TRUE,0.833333333333333,0.833333333333333,0.166666666666667,1,0,0.714285714285714,6
"localized_positive",75,"Holm",TRUE,0.166666666666667,1,0,0,-5,0.166666666666667,1
"localized_positive",75,"BY",TRUE,0,0,0,0,-6,0,0
"localized_positive",76,"unadjusted",TRUE,0.833333333333333,0.833333333333333,0.166666666666667,1,0,0.714285714285714,6
"localized_positive",76,"Holm",TRUE,0.5,1,0,0,-3,0.5,3
