"scenario","procedure","n_replications","global_power","tpr","precision","fdp","fwer","mean_set_size_error","jaccard","mean_selected"
"latent_dependent","BY",1000,0.995,0.150166666666667,0.548166666666667,0.00383333333333332,0.005,-5.094,0.150095238095238,0.906
"localized_positive","BY",1000,0.994,0.141333333333333,0.517966666666667,0.00203333333333333,0.00500000000000003,-5.147,0.141047619047619,0.853
"scattered_mixed","BY",1000,0.998,0.144,0.539,0.000999999999999999,0.000999999999999999,-5.135,0.144,0.865
"three_group","BY",1000,0.953,0.105833333333333,0.4135,0.00250000000000002,0.003,-5.362,0.105809523809524,0.638
"latent_dependent","Holm",1000,0.995,0.202333333333333,0.728166666666667,0.00783333333333331,0.00999999999999999,-4.776,0.202214285714286,1.224
"localized_positive","Holm",1000,0.994,0.192166666666667,0.711466666666667,0.00353333333333331,0.00799999999999999,-4.839,0.191809523809524,1.161
"scattered_mixed","Holm",1000,0.998,0.197833333333333,0.75,0.003,0.00500000000000001,-4.808,0.197738095238095,1.192
"three_group","Holm",1000,0.953,0.171166666666667,0.676,0.00799999999999999,0.011,-4.962,0.17102380952381,1.038
"latent_dependent","unadjusted",1000,0.995,0.6575,0.906361904761905,0.0936380952380952,0.37,-1.58,0.615313492063492,4.42
"localized_positive","unadjusted",1000,0.994,0.638,0.898597222222222,0.0994027777777778,0.387,-1.7,0.597162698412698,4.3
"scattered_mixed","unadjusted",1000,0.998,0.659,0.895902777777778,0.104097222222222,0.413,-1.525,0.612627380952381,4.475
"three_group","unadjusted",1000,0.953,0.599,0.851999603174603,0.148000396825397,0.52,-1.703,0.54255873015873,4.297
