"replicate","n_permutations","global_p_value","global_reject","n_selected","elapsed_seconds"
1,99,0.01,TRUE,1,0.0120000000000005
1,199,0.005,TRUE,1,0.0120000000000005
1,999,0.001,TRUE,1,0.0149999999999864
1,4999,2e-04,TRUE,1,0.0279999999999916
2,99,0.01,TRUE,1,0.0130000000000052
2,199,0.005,TRUE,1,0.0120000000000005
2,999,0.001,TRUE,1,0.01400000000001
2,4999,2e-04,TRUE,1,0.0279999999999916
3,99,0.01,TRUE,3,0.0120000000000005
3,199,0.005,TRUE,3,0.0130000000000052
3,999,0.001,TRUE,3,0.0160000000000196
3,4999,2e-04,TRUE,3,0.0279999999999916
4,99,0.01,TRUE,0,0.0130000000000052
4,199,0.005,TRUE,0,0.01400000000001
4,999,0.001,TRUE,0,0.0149999999999864
4,4999,2e-04,TRUE,0,0.0289999999999964
5,99,0.01,TRUE,0,0.0130000000000052
5,199,0.005,TRUE,0,0.0139999999999816
5,999,0.001,TRUE,0,0.0149999999999864
5,4999,4e-04,TRUE,0,0.0279999999999916
6,99,0.02,TRUE,0,0.0120000000000005
6,199,0.04,TRUE,0,0.0130000000000052
6,999,0.018,TRUE,0,0.0439999999999827
6,4999,0.0104,TRUE,0,0.025999999999982
7,99,0.01,TRUE,1,0.0120000000000005
7,199,0.005,TRUE,1,0.0120000000000005
7,999,0.001,TRUE,1,0.01400000000001
7,4999,2e-04,TRUE,1,0.0260000000000105
8,99,0.01,TRUE,0,0.0120000000000005
8,199,0.005,TRUE,0,0.0120000000000005
8,999,0.001,TRUE,0,0.01400000000001
8,4999,2e-04,TRUE,0,0.0260000000000105
9,99,0.01,TRUE,4,0.0110000000000241
9,199,0.005,TRUE,4,0.0120000000000005
9,999,0.001,TRUE,4,0.0149999999999864
9,4999,2e-04,TRUE,4,0.0279999999999916
10,99,0.02,TRUE,0,0.0129999999999768
10,199,0.01,TRUE,0,0.0120000000000005
10,999,0.013,TRUE,0,0.0139999999999816
10,4999,0.0154,TRUE,0,0.025999999999982
11,99,0.01,TRUE,2,0.0120000000000005
11,199,0.005,TRUE,2,0.01400000000001
11,999,0.001,TRUE,2,0.0159999999999911
11,4999,2e-04,TRUE,2,0.0260000000000105
12,99,0.01,TRUE,1,0.0120000000000005
12,199,0.005,TRUE,1,0.0120000000000005
12,999,0.001,TRUE,1,0.0160000000000196
12,4999,2e-04,TRUE,1,0.0279999999999916
13,99,0.01,TRUE,1,0.0120000000000005
13,199,0.005,TRUE,1,0.0120000000000005
13,999,0.001,TRUE,1,0.0139999999999816
13,4999,2e-04,TRUE,1,0.0260000000000105
14,99,0.01,TRUE,1,0.0120000000000005
14,199,0.005,TRUE,1,0.0129999999999768
14,999,0.001,TRUE,1,0.0149999999999864
14,4999,2e-04,TRUE,1,0.025999999999982
15,99,0.01,TRUE,3,0.0120000000000005
15,199,0.005,TRUE,3,0.0130000000000052
15,999,0.001,TRUE,3,0.0149999999999864
15,4999,2e-04,TRUE,3,0.025999999999982
16,99,0.01,TRUE,0,0.0120000000000005
16,199,0.005,TRUE,0,0.0120000000000005
16,999,0.001,TRUE,0,0.01400000000001
16,4999,2e-04,TRUE,0,0.0260000000000105
17,99,0.01,TRUE,0,0.0120000000000005
17,199,0.01,TRUE,0,0.0120000000000005
17,999,0.003,TRUE,0,0.0150000000000148
17,4999,0.0026,TRUE,0,0.0270000000000152
18,99,0.01,TRUE,0,0.0120000000000005
18,199,0.005,TRUE,0,0.0120000000000005
18,999,0.001,TRUE,0,0.0150000000000148
18,4999,2e-04,TRUE,0,0.02800000000002
19,99,0.01,TRUE,1,0.0109999999999957
19,199,0.005,TRUE,1,0.0120000000000005
19,999,0.001,TRUE,1,0.0150000000000148
19,4999,2e-04,TRUE,1,0.0260000000000105
20,99,0.01,TRUE,1,0.0120000000000005
20,199,0.005,TRUE,1,0.0120000000000005
20,999,0.001,TRUE,1,0.0149999999999864
20,4999,2e-04,TRUE,1,0.025999999999982
21,99,0.01,TRUE,1,0.0120000000000005
21,199,0.005,TRUE,1,0.0120000000000005
21,999,0.001,TRUE,1,0.0150000000000148
21,4999,2e-04,TRUE,1,0.0260000000000105
22,99,0.01,TRUE,1,0.0120000000000005
22,199,0.005,TRUE,1,0.0120000000000005
22,999,0.001,TRUE,1,0.0149999999999864
22,4999,2e-04,TRUE,1,0.0260000000000105
23,99,0.01,TRUE,1,0.0120000000000005
23,199,0.005,TRUE,1,0.0130000000000052
23,999,0.001,TRUE,1,0.0159999999999911
23,4999,2e-04,TRUE,1,0.0270000000000152
24,99,0.01,TRUE,1,0.0120000000000005
24,199,0.005,TRUE,1,0.0109999999999957
24,999,0.001,TRUE,1,0.0130000000000052
24,4999,2e-04,TRUE,1,0.025999999999982
25,99,0.01,TRUE,2,0.0120000000000005
25,199,0.005,TRUE,2,0.0120000000000005
25,999,0.001,TRUE,2,0.01400000000001
25,4999,2e-04,TRUE,2,0.0250000000000057
26,99,0.01,TRUE,0,0.0109999999999957
26,199,0.005,TRUE,0,0.0100000000000193
26,999,0.001,TRUE,0,0.0130000000000052
26,4999,2e-04,TRUE,0,0.0249999999999773
27,99,0.01,TRUE,0,0.0120000000000005
27,199,0.005,TRUE,0,0.0120000000000005
27,999,0.001,TRUE,0,0.0139999999999816
27,4999,2e-04,TRUE,0,0.0270000000000152
28,99,0.01,TRUE,2,0.0109999999999957
28,199,0.005,TRUE,2,0.0109999999999957
28,999,0.001,TRUE,2,0.01400000000001
28,4999,2e-04,TRUE,2,0.0269999999999868
29,99,0.01,TRUE,0,0.0120000000000005
29,199,0.005,TRUE,0,0.0120000000000005
29,999,0.001,TRUE,0,0.0150000000000148
29,4999,2e-04,TRUE,0,0.0270000000000152
30,99,0.01,TRUE,2,0.0130000000000052
30,199,0.005,TRUE,2,0.0130000000000052
30,999,0.001,TRUE,2,0.0180000000000007
30,4999,2e-04,TRUE,2,0.025999999999982
31,99,0.02,TRUE,0,0.0109999999999957
31,199,0.015,TRUE,0,0.0109999999999957
31,999,0.01,TRUE,0,0.01400000000001
31,4999,0.0086,TRUE,0,0.0260000000000105
