"replicate","global_reject","holm_fwer"
1,FALSE,FALSE
2,FALSE,FALSE
3,FALSE,FALSE
4,FALSE,FALSE
5,FALSE,FALSE
6,FALSE,FALSE
7,FALSE,FALSE
8,FALSE,FALSE
9,FALSE,FALSE
10,FALSE,FALSE
11,FALSE,FALSE
12,FALSE,FALSE
13,FALSE,FALSE
14,FALSE,FALSE
15,FALSE,FALSE
16,FALSE,FALSE
17,FALSE,FALSE
18,FALSE,FALSE
19,FALSE,FALSE
20,FALSE,FALSE
21,FALSE,FALSE
22,FALSE,FALSE
23,FALSE,FALSE
24,FALSE,FALSE
25,FALSE,FALSE
26,FALSE,FALSE
27,FALSE,FALSE
28,FALSE,FALSE
29,FALSE,FALSE
30,FALSE,FALSE
31,FALSE,FALSE
32,FALSE,FALSE
33,FALSE,FALSE
34,FALSE,FALSE
35,FALSE,FALSE
36,FALSE,FALSE
37,FALSE,FALSE
38,FALSE,FALSE
39,FALSE,TRUE
40,FALSE,FALSE
41,FALSE,FALSE
42,FALSE,FALSE
43,TRUE,FALSE
44,TRUE,FALSE
45,FALSE,FALSE
46,FALSE,FALSE
47,FALSE,FALSE
48,FALSE,FALSE
49,FALSE,FALSE
50,FALSE,FALSE
51,FALSE,FALSE
52,FALSE,FALSE
53,FALSE,FALSE
54,FALSE,FALSE
55,FALSE,FALSE
56,FALSE,FALSE
57,FALSE,FALSE
58,FALSE,FALSE
59,FALSE,FALSE
60,FALSE,FALSE
61,FALSE,FALSE
62,FALSE,FALSE
63,FALSE,FALSE
64,FALSE,FALSE
65,FALSE,FALSE
66,FALSE,FALSE
67,FALSE,FALSE
68,FALSE,FALSE
69,TRUE,FALSE
70,FALSE,FALSE
71,FALSE,FALSE
72,FALSE,FALSE
73,FALSE,FALSE
74,FALSE,FALSE
75,FALSE,FALSE
76,FALSE,FALSE
77,FALSE,FALSE
78,FALSE,FALSE
79,FALSE,FALSE
80,FALSE,FALSE
81,TRUE,FALSE
82,FALSE,FALSE
83,FALSE,FALSE
84,FALSE,FALSE
85,FALSE,FALSE
86,TRUE,FALSE
87,FALSE,FALSE
88,FALSE,FALSE
89,FALSE,FALSE
90,FALSE,FALSE
91,FALSE,FALSE
92,FALSE,FALSE
93,FALSE,FALSE
94,FALSE,FALSE
95,FALSE,FALSE
96,FALSE,FALSE
97,FALSE,FALSE
98,FALSE,FALSE
99,FALSE,FALSE
100,FALSE,FALSE
101,FALSE,FALSE
102,FALSE,FALSE
103,FALSE,FALSE
104,FALSE,FALSE
105,FALSE,FALSE
106,FALSE,FALSE
107,FALSE,FALSE
108,FALSE,FALSE
109,FALSE,FALSE
110,FALSE,FALSE
111,FALSE,FALSE
112,FALSE,FALSE
113,FALSE,FALSE
114,FALSE,FALSE
115,TRUE,FALSE
116,FALSE,FALSE
117,TRUE,FALSE
118,FALSE,FALSE
