"N","perturbation_type","seed","runtime","global_significant","TP","FP","FN","TN","residual_p","success","error","recall","precision","power","no_residual"
10,"lambda_half",1001,0.517905950546265,TRUE,16,0,1,28,1,TRUE,"",0.941176470588235,1,TRUE,TRUE
10,"lambda_half",2002,0.453045845031738,TRUE,16,0,1,28,1,TRUE,"",0.941176470588235,1,TRUE,TRUE
10,"lambda_half",3003,0.428892850875854,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"lambda_half",4004,0.447690010070801,TRUE,16,0,1,28,1,TRUE,"",0.941176470588235,1,TRUE,TRUE
10,"lambda_half",5005,0.415783882141113,TRUE,16,0,1,28,1,TRUE,"",0.941176470588235,1,TRUE,TRUE
10,"lambda_half",6006,0.423825979232788,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"lambda_half",7007,0.423640012741089,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"lambda_half",8008,0.420693159103394,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"lambda_half",9009,0.419989109039307,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"lambda_half",10010,0.419141054153442,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"const_high",11001,0.42127799987793,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"const_high",12002,0.420601844787598,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"const_high",13003,0.429859161376953,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"const_high",14004,0.451889991760254,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"const_high",15005,0.414989948272705,TRUE,17,1,0,28,1,TRUE,"",1,0.944444444444444,TRUE,TRUE
10,"const_high",16006,0.420654058456421,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"const_high",17007,0.419743061065674,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"const_high",18008,0.425472974777222,TRUE,17,1,0,28,1,TRUE,"",1,0.944444444444444,TRUE,TRUE
10,"const_high",19009,0.424199104309082,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
10,"const_high",20010,0.49438214302063,TRUE,17,0,0,28,1,TRUE,"",1,1,TRUE,TRUE
100,"lambda_half",21001,14.0593581199646,TRUE,263,0,31,4656,1,TRUE,"",0.894557823129252,1,TRUE,TRUE
100,"lambda_half",22002,12.8898928165436,TRUE,265,0,29,4656,1,TRUE,"",0.901360544217687,1,TRUE,TRUE
100,"lambda_half",23003,12.592013835907,TRUE,262,0,32,4656,1,TRUE,"",0.891156462585034,1,TRUE,TRUE
100,"lambda_half",24004,12.5669720172882,TRUE,261,0,33,4656,1,TRUE,"",0.887755102040816,1,TRUE,TRUE
100,"lambda_half",25005,12.8174729347229,TRUE,264,0,30,4656,1,TRUE,"",0.897959183673469,1,TRUE,TRUE
100,"lambda_half",26006,12.7247431278229,TRUE,265,0,29,4656,1,TRUE,"",0.901360544217687,1,TRUE,TRUE
100,"lambda_half",27007,12.7020900249481,TRUE,263,0,31,4656,1,TRUE,"",0.894557823129252,1,TRUE,TRUE
100,"lambda_half",28008,12.4233241081238,TRUE,264,0,30,4656,1,TRUE,"",0.897959183673469,1,TRUE,TRUE
100,"lambda_half",29009,12.7166078090668,TRUE,263,0,31,4656,1,TRUE,"",0.894557823129252,1,TRUE,TRUE
100,"lambda_half",30010,12.7321269512177,TRUE,258,0,36,4656,0,TRUE,"",0.877551020408163,1,TRUE,FALSE
100,"const_high",31001,12.8510208129883,TRUE,268,0,26,4656,1,TRUE,"",0.91156462585034,1,TRUE,TRUE
100,"const_high",32002,13.0747981071472,TRUE,268,0,26,4656,1,TRUE,"",0.91156462585034,1,TRUE,TRUE
100,"const_high",33003,12.8996651172638,TRUE,269,0,25,4656,1,TRUE,"",0.914965986394558,1,TRUE,TRUE
100,"const_high",34004,13.1844389438629,TRUE,269,0,25,4656,1,TRUE,"",0.914965986394558,1,TRUE,TRUE
100,"const_high",35005,13.0465669631958,TRUE,266,0,28,4656,1,TRUE,"",0.904761904761905,1,TRUE,TRUE
100,"const_high",36006,12.9448091983795,TRUE,267,0,27,4656,0,TRUE,"",0.908163265306122,1,TRUE,FALSE
100,"const_high",37007,12.7887110710144,TRUE,269,0,25,4656,1,TRUE,"",0.914965986394558,1,TRUE,TRUE
100,"const_high",38008,12.7977969646454,TRUE,268,0,26,4656,1,TRUE,"",0.91156462585034,1,TRUE,TRUE
100,"const_high",39009,12.6066761016846,TRUE,266,0,28,4656,1,TRUE,"",0.904761904761905,1,TRUE,TRUE
100,"const_high",40010,12.7896258831024,TRUE,271,0,23,4656,1,TRUE,"",0.921768707482993,1,TRUE,TRUE
